project,abstract
การศึกษากระบวนการจัดซื้อเครื่องจักรสำหรับการผลิตสินค้า,"งานวิจัยฉบับนี้เป็นการศึกษากระบวนการสั่งซื้อเครื่องจักรสำหรับการผลิตสินค้า กรณีศึกษาบริษัท ออโตโมทิฟ โดยมีวัตถุประสงค์เพื่อการศึกษากระบวนการทั้งหมดของการสั่งซื้อเครื่องจักรสำหรับการผลิต และเพื่อวิเคราะห์หาสาเหตุของปัญหาที่ทำให้การบันทึกเครื่องจักรที่ทำการสั่งซื้อมาเป็นสินทรัพย์ของบริษัทมีการใช้เวลานาน รวมถึงการเสนอผลกระทบที่อาจเกิดจากปัญหา ด้วยการใช้ทฤษฎี Workflow เพื่อใช้แสดงรูปแบบกระบวนการที่ใช้ในปัจจุบันสำหรับการสั่งซื้อเครื่องจักร และทฤษฎีแผนผังก้างปลา (Fishbone Diagram) ในการวิเคราะห์หาสาเหตุของปัญหาที่เกิดขึ้น ผู้วิจัยได้ใช้ การสัมภาษณ์, Google sheet, Google Chat และ Microsoft excel เพื่อเก็บเป็นข้อมูลส่วนกลางระหว่างผู้ให้ข้อมูลและผู้เก็บข้อมูล ผลของการวิจัยพบว่า สามารถทราบถึงกระบวนการสั่งซื้อเครื่องจักรสำหรับการผลิต และสามารถแสดงแผนผังกระบวนการที่ใช้ในปัจจุบัน รวมถึงสามารถวิเคราะห์ปัญหาและเสนอผลกระทบที่อาจเกิดขึ้นได้ เนื่องจากการใช้เครื่องมือดังกล่าว สามารถทำให้เห็นรายละเอียดทั้งหมดของกระบวนการสั่งซื้อทำให้เห็นสาเหตุของปัญหาอย่างชัดเจน เพราะเครื่องมือที่ใช้ทั้งหมดนั้นเป็นเครื่องมือที่เป็นส่วนกลางที่จะทำให้ผู้ที่ให้ข้อมูลต้องคอยติดตามกระบวนการทำงานของตนเอง ซึ่งผลของวิจัยในครั้งนี้ทำให้ผู้ที่มีส่วนเกี่ยวข้องตระหนักและเห็นถึงสาเหตุของปัญหามากขึ้น"
การวัดคุณภาพการให้บริการของสายเรือทั้ง 5 สายเรือ เพื่อประกอบการตัดสินใจในการเลือกใช้บริการ,"งานวิจัยนี้มีวัตถุประสงค์ เพื่อศึกษาการวัดคุณภาพการให้บริการของสายเรือทั้ง 5 สายเรือ ได้แก่ WANHAI, COSCO, HEUNG-A, OOCL, ONE โดยใช้แบบสอบถามปลายปิดผ่านแบบสอบถามออนไลน์ จำนวน 15 คน จากแผนกที่ทำงานในบริษัท โดยมีการใช้หลักทฤษฎี SERQUAL ดูจากองค์ประกอบรวมทั้ง 5 ปัจจัย คือ ด้านความน่าเชื่อถือ ด้านการสร้างความมั่นใจ ด้านรูปลักษณ์ทางกายภาพ ด้านการดูแลเอาใจใส่ ด้านการตอบสนองในการให้บริการ ซึ่งการศึกษาในครั้งนี้จะสามารถนำมาเป็นแนวทางในการเสนอแก่ลูกค้าประกอบการตัดสินใจในการเลือกใช้สายเรือที่มีคุณภาพโดยดูจากองค์ประกอบรวมทั้ง 5 ด้าน และสามารถลดการรอคอยงานในการทำงานของแต่ละแผนกในบริษัทอาจเกิดจากการทำงานที่ผิดพลาดของสายเรือ ผลการศึกษาวิจัยพบว่า จากกลุ่มตัวอย่างจำนวน 15 คน ส่วนใหญ่เป็นเพศหญิงเป็นร้อยละ 73.3 มีอายุในช่วง 26-30 ปี คิดเป็นร้อยละ 46.7 ส่วนงานที่สังกัด(แผนกงานที่สังกัด) แผนกขนส่ง คิดเป็นร้อยละ 40 ซึ่งจากผลวิจัยในด้านที่ 1 ความน่าเชื่อถือ สายเรือที่มีคุณภาพในการบริการมากที่สุด คือ HEUNG A (-3.267) ด้าน 2 การสร้างความมั่นใจ สายเรือที่มีคุณภาพในการบริการมากที่สุด คือ WANHAI (-3.400) ด้าน 3 รูปลักษณ์ทางกายภาพ สายเรือที่มีคุณภาพในการบริการมาก ที่สุด คือ WANHAI (-1.600) ด้าน 4 การดูแลเอาใจใส่ สายเรือที่มีคุณภาพในการบริการมาก ที่สุด คือ WANHAI (-3.067) ด้าน 5 การตอบสนองในการให้บริการ สายเรือที่มีคุณภาพในการบริการมากที่สุด คือ HEUNG A (-2.133) และสามารถนำมาสรุปคุณภาพโดยดูจากองค์ประกอบในภาพรวมทั้ง 5 ด้าน ของทั้ง 5 สายเรือ และนำมาจัดลำดับสายเรือที่มีความน่าพึงพอใจจากมากไปน้อย สามารถจัดลำดับได้ ดังนี้ WANHAI ผลต่างรวม = -15.01 , HEUNG ผลต่างรวม = -17.47, ONE ผลต่างรวม = -26.87 , COSCO ผลต่างรวม = -32.74 , OOCL ผลต่างรวม = -45.21 แสดงให้เห็นว่า สายเรือที่มีองค์ประกอบรวมทั้ง 5 ด้านที่อยู่ในคุณภาพดี และควรเลือกใช้บริการอันดับแรก คือ WANHAI"
การวิเคราะห์ความเสี่ยงในระดับปฏิบัติการของแผนกตรวจรับสินค้าขาออก,งานวิจัยนี้มีวัตถุประสงค์เพื่อ วิเคราะห์ความเสี่ยงในระดับปฏิบัติการของขั้นตอน ในแผนกตรวจรับสินค้าขาออก จากบริษัทผู้ให้บริการขนส่งสินค้าทางอากาศ โดยประยุกต์ใช้เครื่องมือการวิเคราะห์ข้อบกพร่องและผลกระทบ (FMEA) มาช่วยวิเคราะห์ระดับความเสี่ยงของกระบวนการดำเนินงานในแผนกตรวจรับสินค้าขาออก และ แผนผังเหตุและผล (Cause and Effect Diagram) มาช่วยวิเคราะห์ปัญหาและสาเหตุของข้อบกพร่องในกระบวนการดำเนินงาน ซึ่งมีปัจจัยปัญหาหลายหลากด้าน ได้แก่ 1.วิธีการในการดำเนินงาน 2. บุคลากรในการดำเนินงาน 3. อุปกรณ์อำนวยความสะดวกในการทำงาน 4. สภาพแวดล้อมในการทำงาน ทำให้สามารถระบุปัญหาจากทั้ง 4 ปัจจัย ได้รวมทั้งสิ้น 11 ปัญหา ก่อนวิเคราะห์ด้วยการวิเคราะห์ข้อบกพร่องและผลกระทบ (FMEA) พบว่าแนวโน้มความผิดพลาดและความเสี่ยงสูงสุดได้แก่ ปัญหาบุคลากรทำงานผิดพลาด ผู้วิจัยจึงเสนอแนวทางในการปรับปรุงความผิดพลาดของบุคลากร (Human error) เพื่อลดค่าตัวเลขRisk Priority Number (RPN) และนำไปสู่การปรับปรุงและเพิ่มประสิทธิภาพให้เหนือคู่แข่ง และสร้างความพึงพอใจสูงสุดให้กับลูกค้าได้
การศึกษาปัญหาและสาเหตุการเกิดความเสียหายของกระจกจากกระบวนการขนส่ง,"ในการศึกษาปัญหาและสาเหตุการเกิดความเสียหายของกระจกจากกระบวนการขนส่ง มีวัตถุประสงค์เพื่อศึกษาหาสาเหตุที่แท้จริงของการเกิดความเสียหายของกระจก เพื่อหาแนวทางการแก้ไขปัญหาและปรับปรุงการทำงาน โดยการศึกษาตามวัตถุประสงค์ทั้ง 4 ข้อ คือ ศึกษาขั้นตอนการโหลดกระจกขึ้นรถของพนักงานขับรถและพนักงานหน้างาน, ศึกษาต้นตอของปัญหาที่ทำให้กระจกเกิดความเสียหายระหว่างการขนส่ง, ศึกษาต้นตอของปัญหาที่ทำให้กระจกเกิดความเสียหายนอกเหนือจากการขนส่ง และหาวิธีหลีกเลี่ยงปัญหา หรือหาแนวทางในการแก้ปัญหาให้กับแผนกวางแผนและพนักงานขับรถ จากผลการศึกษา การสัมภาษณ์และการวิเคราะห์สาเหตุของการเกิดความเสียหายของกระจก พบว่าสาเหตุของการเกิดความเสียหายของกระจกสามารถเกิดขึ้นได้หลากหลายปัจจัย กระบวนการขนส่งไม่ใช่กระบวนการเดียวที่ทำให้เกิดปัญหา ผู้ศึกษาได้นำเสนอแนวทางการแก้ปัญหาแต่ละสาเหตุให้กับทางบริษัทนำไปใช้ ซึ่งขึ้นอยู่กับทางบริษัทว่าจะนำไปปรับใช้และมีมาตรการเพิ่มเติม เพื่อให้การแก้ไขปัญหามีประสิทธิภาพมากขึ้น"
แนวทางการเพิ่มประสิทธิภาพในกระบวนการทำงานและจัดเก็บสินค้า,การศึกษาครั้งนี้มีวัตถุประสงค์ศึกษาหระบวนการทำงาน หาสาเหตุที่มีผลต่อการไหลของกระบวนการทำงานและเสนอแนวทางในการเพิ่มประสิทธิภาพในการทำงานและจัดเก็บสินค้าของ โดยมีขั้นตอนการศึกษาดำเนินงานดังนี้ เก็บรวบรวมข้อมูลที่เกี่ยวกับกระบวนการทำงานตั้งแต่วันที่ 10 มกราคม - 28 กุมภาพันธ์ พ.ศ.2565 เพื่อนำมาดำเนินการวิเคราะห์ โดยทำการบันทึกกระบวนการ Picking งานทั้งหมด 10 รายการ โดยผู้ศึกษาได้นำแนวคิด 5ส และ ECSR มาประยุกต์ใช้ในการเพิ่มประสิทธิภาพในการทำงานและจัดเก็บสินค้าในครั้งนี้ โดยมีเป้าหมายคือ ลดการเคลื่อนที่ที่ไม่จำเป็น โดยผู้ศึกษาได้ทำการเสนอรูปแบบการจัดพื้นที่สำหรับการทำงานแบบก่อนและหลังการปรับปรุงเพื่อเปรียบเทียบผลที่เกิดขึ้น ผลการศึกษาพบว่า กระบวนการทำงาน Picking มีการเคลื่อนที่ที่ไม่จำเป็น เป็นผลมาจากการจัดการพื้นที่ ที่ไม่มีการแบ่งพื้นที่การทำงานที่ชัดเจน ส่งผลให้การทำงานเป็นไปอย่างล่าช้าและไม่เต็มประสิทธิภาพ โดยก่อนการปรับปรุงมีการเคลื่อนที่ทั้งหมด 12 ครั้ง คิดเป็นระยะทาง 63 เมตร ใช้เวลาในการทำงาน 935 วินาที จึงทำการเสนอแนวทางการปรับเปลี่ยนรูปแบบของพื้นที่การทำงานที่มีการจัดพื้นที่ตามหลัก 5 ส และ ECSR ที่นำมาประยุกต์ใช้นั้น พบว่า มีการเคลื่อนที่ทั้งหมด 10 ครั้ง คิดเป็นระยะทาง 42 เมตร ใช้เวลาในการทำงาน 894 วินาที จะเห็นได้ว่า กระบวนการทำงานมีการเคลื่อนที่ลดลง และใช้เวลาลดลงได้อย่างเห็นได้ชัด
การพัฒนาระบบการสแกนชิ้นงาน Service Part ด้วยโปรแกรม Microsoft Excel,การศึกษางานวิจัยครั้งนี้มีวัตถุประสงค์เพื่อพัฒนาระบบสแกนชิ้นงาน Service Part ด้วยโปรแกรม Microsoft Excel และเพื่อลดจำนวนความผิดพลาดที่เกิดจากการตรวจสอบชิ้นงาน Service Part โดยทางผู้วิจัยเล็งเห็นช่องว่างที่ทำให้เกิดการส่งงานผิดพลาดในกระบวนการ Shipment งาน Service Part ที่ไม่มีระบบตรวจสอบความถูกต้องของชิ้นงานก่อนการ Repack ส่งให้ลูกค้ารายย่อย จึงเริ่มทำการศึกษาขอบเขตการทำวิจัย จากนั้นจึงเริ่มเก็บข้อมูลรายละเอียดของโมเดลบริษัทลูกค้าที่ต้องการศึกษา แล้วสร้างระบบสแกนชิ้นงานโดยใช้โปรแกรม Microsoft Excel จากนั้นเพิ่มการใช้ Microsoft Excel Macro เข้ามาช่วยให้คำสั่งปริ้นท์ลาเบลใช้งานได้ง่ายขึ้น เมื่อนำไปใช้งานแล้วพบว่า ระบบสแกนชิ้นงาน Service Part ด้วยโปรแกรม Microsoft Excel สามารถตรวจสอบความผิดพลาดได้ และสามารถลดจำนวนความผิดพลาดจากการส่งงานผิดได้ โดยในช่วงเดือนตุลาคม พ.ศ.2564 ถึง เดือนกันยายน พ.ศ.2565 ก่อนนำระบบมาใช้ มีจำนวนความผิดพลาดจากการส่งงานผิด 6 ครั้ง และในช่วงเดือนตุลาคม พ.ศ.2565 ถึงเดือนมกราคม พ.ศ.2566 ภายหลังนำระบบมาใช้ ยังไม่มีจำนวนความผิดพลาดจากการส่งงานผิด
การเพิ่มประสิทธิภาพกกระบวน Packing ภายในแผนก Shipping Center,การศึกษาวิจัยเรื่องการเพิ่มประสิทธิภาพกระบวนการ Packing ของแผนก Shipping Center ของบริษัทกรณีศึกษา โดยมีวัตถุประสงค์เพื่อศึกษากระบวนการ Packing ภายในแผนก Shipping Center ของบริษัทกรณีศึกษา เพื่อศึกษาและวิเคราะห์แนวทางในการเพิ่มประสิทธิภาพการทำงาน โดยการใช้เครื่องมือแผนผังก้างปลา (Fish Bone Diagram) เพื่อค้นหาสาเหตุที่แท้จริงของปัญหาการแพ็คสินค้าล่าช้า จากนั้นประยุกต์ใช้ทฤษฎีลีน (Lean) ในการเพิ่มประสิทธิภาพการทำงาน โดยการวิเคราะห์หาปัญหาหรือความสูญเปล่าตามทฤษฎีความสูญเปล่า 8 ประการและแนวคิดการวิเคราะห์สายธารคุณค่า (value stream analysis) เพื่อระบุขั้นตอนและกิจกรรมที่เพิ่มคุณค่า (Value - Added Activities หรือ VA) กิจกรรมที่ไม่เพิ่มคุณค่าแต่จำเป็นต้องทำ ( Non Value Added but Necessary Activities หรือ NNVA) และกิจกรรมที่ไม่เพิ่มคุณค่า (Non - Value Added Activities หรือ NVA) และนำเอาหลักการ ECRS มาประยุกต์ใช้เพื่อลดความสูญเปล่าที่เกิดขึ้น อีกทั้งยังนำเอาหลักการวางผังโรงงานไปปรับใช้ในวิเคราะห์และนำเสนอแนวทางเพื่อเพิ่มประสิทธิการทำงานตามวัตถุประสงค์ที่ได้ตั้งไว้ โดยหลังจากวิเคราะห์ข้อมูลแล้วจึงได้นำเสนอวิธีการเพิ่มประสิทธิภาพโดยการปรับปรุงแผนผังการจัดวางกระบวนการใหม่ ซึ่งเมื่อทำการปรับปรุงแผนผังการจัดวางกระบวนการให้มีความสอดคล้องกับขั้นตอนการทำงาน และเปรียบเทียบระยะทางและระยะเวลาที่ใช้ในการทำงานก่อนและหลังการปรับปรุงแล้วนั้น ได้ผลลัพธ์หลังจากปรับปรุง คือ สามารถลดระยะทางที่ใช้ในการทำงานทั้งหมดในทุกส่วนงาน 127.35 เมตร และสามารถลดระยะเวลาได้ 3738.6 วินาที โดยสามารถลดระยะทางที่ใช้คิดเป็นร้อยละ 75.26 และลดเวลาที่ใช้ในการทำงานได้ทั้งสิ้นร้อยละ 49.05 และสามารถลดเวลาที่ใช้ในกิจกรรมที่ไม่เพิ่มคุณค่า (Non - Value Added Activities หรือ NVA)ได้ 837.6 วินาที และกิจกรรมที่ไม่เพิ่มคุณค่าแต่จำเป็นต้องทำ ( Non Value Added but Necessary Activities หรือ NNVA) ได้ทั้งสิ้น 6642.1 วินาที
การศึกษาและจัดทำคู่มือการออกเอกสารผลิตและแผนกการส่งชิ้นส่วนรถยนต์ Nissan (SLAB To SAB),"การวิจัยครั้งนี้เป็นงานวิจัยในการจัดทำคู่มือเพื่อลดเวลาการสอนงานจากผู้เชี่ยวชาญลง โดยทำการศึกษาความพึงพอใจของพนักงานที่มีต่อ การจัดทำคู่มือการออกเอกสารการผลิตและแผนการส่งชิ้นส่วนรถยนต์Nissan(SLAB To SAB) ผู้วิจัยได้ได้พบปัญหาในกระบวนการการสอนงานซึ่งในการที่จะทำขั้นตอนต่างๆในการออกเอกสารการผลิต หรือแผนการส่งชิ้นส่วนรถยนต์Nissan ไม่สามารถที่จะทำได้โดยไม่มีผู้เชี่ยวชาญในการสอนงาน ทำให้ผูเชี่ยวชาญต้องสละเวลามาสอนงานซึ่งใช้เวลานานพอสมควร และในกระบวนการมีขั้นตอนการทำงานที่ซับซ้อน และผิดพลาดได้ง่าย เช่น การกรอกข้อมูลผิดตำแหน่ง,การทำงานที่ผิดพลาด และการทำงานที่ซ้ำซ้อน ทำให้เสียเวลาในการแก้ไข และเสียเวลาไปโดยเปล่าประโยชน์ จากการจัดทำคู่มือการออกเอกสารการผลิตและแผนการส่งชิ้นส่วนรถยนต์Nissan(SLAB To SAB) ขึ้นและได้จัดทำแบบสอบถาความพึงพอใจในด้านประสิทธิภาพและด้านความง่ายต่อการใช้งาน เมื่อทำการประเมิลผลที่ได้จากการลองใช้คู่การออกเอกสารการผลิตและแผนการส่งชิ้นส่วนรถยนต์Nissan(SLAB To SAB) ผลที่ได้คือ พนักงานใหม่มีการใช้คู่มือร่วมกับการทำงาน ลดการสอนงานจากผู้เชี่ยวชาญลง และยังลดการทำงานที่ผิดพลาด หรือการกรอกข้อมูลผิดตำแหน่งลง โดยพนักงานใหม่หรือพนักงานที่ยังไม่เคยปฏิบัติงานสามารถนำคู่มือการออกเอกสารการผลิตและแผนการส่งชิ้นส่วนรถยนต์Nissan(SLAB To SAB) มาใช้เปรียบเทียบได้ ผลประเมิลความพึงพอใจ ด้านประสิทธิภาพของคู่มืออยู่ในระดับมาก(x ̅ = 4.47) ด้านความง่ายต่อการใช้งานอยู่ในระดับมากที่สุด (x ̅ = 4.68) ตามลำดับ ส่วนค่าเฉลี่ยรวมอยู่ในระดับมากที่สุดเช่นกัน (x ̅ = 4.57)"
การเพิ่มประสิทธิภาพสินค้าคงคลัง,การศึกษาในครั้งนี้มีมีวัตถุประสงต์เพื่อศึกษากระบวนการทำงานภายในคลังสินค้า ศึกษาปัญหาที่เกิดขึ้นภายในคลังสินค้า และเสนอแนวทางการเพิ่มประสิทธิภาพการจัดการคลังสินค้า โดยทำการรวบรวมข้อมูลกระบวนการทำงานตั้งแต่กระบวนการรับสินค้าเข้า กระบวนการจัดเก็บสินค้า และกระบวนการจัดส่งสินค้า ตลอดจนการสังเกตการณ์ทำงานจริงและสัมภาษณ์พนักงานภายในคลังสินค้า จากการศึกษาพบว่าคลังสินค้าสำเร็จรูป (Finished Goods) ในปัจจุบันมีปัญหาการจัดเก็บสินค้าไม่เป็นระบบ คือ ไม่มีการจัดหมวดหมู่สินค้า ไม่จัดเก็บสินค้าตามความเคลื่อนไหว สินค้าขายดีถูกเก็บไว้ด้านใน ทำให้เสียเวลาในการหยิบสินค้า ต้องมีการเคลื่อนย้ายสินค้าที่ไม่ต้องการออกก่อนเพื่อที่จะเข้าไปหยิบสินค้าที่ต้องการออกมา ทำให้เกิดกระบวนการทำงานที่ซ้ำซ้อนและขาดประสิทธิภาพในกระบวนการทำงาน ผู้จัดทำจึงได้ใช้แผนผังสาเหตุก้างปลาในการวิเคราะห์ข้อมูลเพื่อทราบถึงปัญหาและสาเหตุของปัญหา และใช้ทฤษฎีการแบ่งกลุ่มสินค้า ABC Analysis มาช่วยในการแก้ไขปัญหาที่เกิดขึ้น จากการดำเนินงานเมื่อนำการจัดวางสินค้าแบบ ABC Analysis เข้ามาปรับปรุง พบว่าเวลาที่พนักงานใช้ในการหยิบสินค้ามีค่าเฉลี่ยแต่ละใบเท่ากับ 19.15 นาที ซึ่งลดลง 3.24 นาที จากระยะเวลาที่ลดลงนั้นส่งผลให้สามารถดำเนินกิจกรรมต่างๆในคลังสินค้าได้อย่างเป็นระเบียบและรวดเร็วมากยิ่งขึ้น
การเพิ่มประสิทธิภาพการทำงานของการขนย้ายสินค้า (Transfer Product) โดยการนำระบบคิวรถรับงาน (Queue Transfer) มาประยุกต์ใช้,การศึกษาวิจัยในครั้งนี้ มีวัตถุประสงค์เพื่อเพิ่มประสิทธิภาพการทำงานของการขนย้ายสินค้า (Transfer Product) ในการลดความสูญเปล่าในกระบวนการทำงาน คือ การรอคอย (Waiting Time) การติดต่อสื่อสารผ่านช่องทางวิทยุสื่อสาร และเพื่อช่วยลดความแออัดในพื้นที่บริเวณหน้าประตูป้อมยาม เมื่อรถบรรทุกมาจอดรอรับงานขนย้าย กรณีศึกษาบริษัทผลิตเครื่องปรับอากาศ โดยผู้ศึกษาวิจัยได้ทำการนำระบบคิวรถรับงาน (Queue Transfer) มาปรับใช้ โดยนำหลักการ ECRS จากแนวคิดไคเซ็น (Kaizen) มาประยุกต์ใช้ปรับปรุงขั้นตอนการทำงาน และสร้างอุปกรณ์ที่ช่วยให้แจ้งคิวรับงานได้ง่ายขึ้น คือ บัตร RFID สำหรับสแกนแจ้งคลังสินค้าที่มารับงานให้ประสิทธิภาพมากขึ้น ซึ่งหลังจากนำระบบคิวรถรับงาน (Queue Transfer) มาปรับใช้ สามารถช่วยให้พนักงาน (Manpower) ทีม Transfer ที่ทำงานอยู่บริเวณฝ่ายปฏิบัติการบริเวณหน้างาน สามารถเห็นข้อมูลคิวรถที่มาจอดรอรับงานขนย้ายสินค้าผ่านหน้าจอคอมพิวเตอร์ หรือหน้าจอโทรทัศน์ ได้แบบ Real Time ทำให้การทำงานในขั้นตอนการขนย้ายสินค้าสามารถทำงานได้สะดวกรวดเร็วยิ่งขึ้น เนื่องจากไม่ต้องรอคอยการสื่อสารผ่านช่องทางวิทยุสื่อสาร
คู่มือการยื่นฟอร์มเกี่ยวกับการขอหนังสือรับรองถิ่นกำเนิดของสินค้า,ปัจจุบันบริษัท เป็นฐานการผลิตเครื่องปรับอากาศไดกิ้นที่สำคัญ และมีการส่งออกเครื่องปรับอากาศไปจำหน่ายหลายประเทศทั่วโลก จึงทำให้มีการจัดตั้งกลุ่มสนับสนุนการค้าเสรีขึ้นมาเพื่ออำนวยความสะดวกในเรื่องของการจัดทำเอกสารที่ใช้ในการลดหย่อนภาษีการนำเข้าสินค้า มีชื่อเรียกว่า หนังสือรับรองถิ่นกำเนิดสินค้า (Certificate of Origin : CO) หรือที่เรียกสั้นๆกันว่า Form เป็นงานที่ค่อนข้างละเอียดซับซ้อนและมีขั้นตอนที่แตกต่างกันในบางกรณีที่เป็น Special Case จึงจำเป็นจะต้องมีคู่มือในการทำงานเพื่อช่วยให้พนักงานใหม่หรือนักศึกษาฝึกงานมีความเข้าใจในการทำงานมากยิ่งขึ้น และลดข้อผิดพลาดที่อาจเกิดขึ้นในการทำงาน ผู้จัดทำจึงได้จัดทำคู่มือการยื่นฟอร์มเกี่ยวกับการขอหนังสือรับรองถิ่นกำเนิดของสินค้า ของกลุ่มสนับสนุนการค้าเสรี ขึ้นมาเพื่อช่วยให้ผู้ที่เข้ามาทำงานใหม่ในกลุ่มสนับสนุนการค้าเสรี มีแนวทางในการทำงาน สามารถปฏิบัติงานได้อย่างถูกต้อง ซึ่งจะส่งผลให้ผู้ที่เข้ามาทำงานใหม่ทำงานได้อย่างมีประสิทธิภาพ และเป็นการช่วยลดภาระในการสอนงานให้กับพนักงานที่ปรึกษา
การลดต้นทุนการขนส่งในการทำ Scrap ของแผนก Logistics of Transportation,รายงานฉบับนี้เป็นส่วนหนึ่งของวิชา สหกิจศึกษา 91030459 (Cooperative Education) ที่เปิดโอกาสให้นักศึกษาได้ปฏิบัติงานจริงกับสถานประกอบการ เป็นการศึกษาระบบการทำงานเพื่อเสริมสร้างทักษะ ประสบการณ์และศักยภาพในการทำงานจริงให้แก่นักศึกษาก่อนจบการศึกษาในอนาคต การปฏิบัติสหกิจในครั้งนี้ผู้วิจัยได้เลือกหัวข้อเรื่อง การลดต้นทุนการขนส่งในการทำ Scrap ของแผนก Logistics of Transportation โดยมีวัตถุประสงค์เพื่อลดต้นทุนการขนส่งจากค่ารถบรรทุกในการรับขนเศษวัสดุไปยังผู้ให้บริการกำจัดเศษวัสดุ จากการที่ได้เข้าไปปฏิบัติงานในโครงการสหกิจศึกษา ณ บริษัทกรณีศึกษา ผู้วิจัยได้รับมอบหมายให้ปฏิบัติหน้าที่ในแผนก Logistics of Transportation ซึ่งมีความรับผิดชอบในการรวบรวมข้อมูลต่าง ๆ รวมถึงการลดต้นทุนที่เกี่ยวข้องกับ Transportation ดังนั้นผู้วิจัยจึงศึกษาเกี่ยวกับต้นทุนในการทำ Scrap ที่บริษัทมีต้นทุนในการจ้างรถขนส่งมารับขนเศษวัสดุไปทำลายกับผู้ให้บริการกำจัดเศษวัสดุ ทำการเปรียบเทียบต้นทุนในการขนส่งเศษวัสดุไปทำลายกับค่าเศษวัสดุที่ขายได้ ใช้ประกอบการตัดสินใจในการดำเนินงานขนส่งเศษวัสดุไปทำลายในครั้งต่อไปของแผนก Logistics of Material Planning เพื่อลดต้นทุนการขนส่งได้
การปรับปรุงกระบวนการการแจ้งรับพัสดุและการจัดเก็บข้อมูลการนำเข้าพัสดุ,งานวิจัยนี้เป็นการศึกษาการปรับปรุงกระบวนการการแจ้งรับพัสดุและการจัดเก็บข้อมูลการนำเข้าพัสดุจากบริษัท ดีเฮชแอล เอ็กซ์เพรส ประเทศไทย กรณีศึกษา: จังหวัดระยอง ซึ่งอยู่ภายใต้การดูแลของแผนก GS/OSD4 มีวัตถุประสงค์เพื่อปรับปรุงกระบวนการการแจ้งรับพัสดุจากบริษัท ดีเฮชแอล เอ็กซ์เพรส ประเทศไทย เพื่อปรับปรุงการจัดเก็บข้อมูลการนำเข้าพัสดุจากบริษัท ดีเฮชแอล เอ็กซ์เพรส ประเทศไทย ผู้จัดทำวิจัยได้เล็งเห็นถึงปัญหาที่เกิดขึ้น และอยากจะแก้ไข ปรับปรุงให้ดีขึ้น ซึ่งได้ปรับปรุงกระบวนการการรับพัสดุที่มีจำนวนมาก และห้องเก็บของ (Guardhouse) ที่มีพื้นที่อย่างจำกัด เมื่อเจ้าของพัสดุ (User) ไม่มารับพัสดุของตนไป ทำให้ห้องเก็บของเต็ม จึงได้มีการปรับปรุงการแจ้งรับและการแจ้งอีเมล์ซ้ำ โดยแจ้งอีเมล์ซ้ำทุกวันพุธของสัปดาห์ถัดไป หากเกิน 2 สัปดาห์ แผนก GS/OSD4 Team Import จึงจำเป็นที่จะต้องรายงานให้แก่หัวหน้าแผนกของเจ้าของพัสดุทราบ เพื่อลดปัญหาที่จะเกิดขึ้นตามมา ซึ่งหลังจากได้มีการปรับปรุงกระบวนการการแจ้งรับและการจัดเก็บแล้วนั้น ผลที่เกิดขึ้นคือ จำนวนพัสดุตกค้างลดลงเป็นจำนวนมาก ปัญหาที่จะเกิดขึ้นก็ลดลงไปด้วย
